,name,rating,genre,year,released,score,votes,director,writer,star,budget,gross,company,runtime,released_month,adjusted_budget,adjusted_gross,weekday,actor,bday,nominations,awards_won,star_age
104,The Thing,R,Horror,1982,1982-06-25,8.1,382000.0,John Carpenter,Other,Other,15000000.0,19632053.0,Universal Pictures,109.0,6,42119689.119171,55126397.9420725,Friday,Kurt Russell,1951-03-17,0.0,0.0,11423
105,The Thing,R,Horror,1982,1982-06-25,8.1,382000.0,John Carpenter,Other,Other,15000000.0,19632053.0,Universal Pictures,109.0,6,42119689.119171,55126397.9420725,Friday,Kurt Russell,1951-03-17,0.0,0.0,11423
106,Conan the Barbarian,R,Action,1982,1982-05-14,6.9,141000.0,Other,Other,Arnold Schwarzenegger,20000000.0,68851475.0,Universal Pictures,129.0,5,56159585.492228,193333514.826425,Friday,Arnold Schwarzenegger,1947-07-30,0.0,0.0,12707
107,Conan the Barbarian,R,Action,1982,1982-05-14,6.9,141000.0,Other,Other,Arnold Schwarzenegger,20000000.0,68851475.0,Universal Pictures,129.0,5,56159585.492228,193333514.826425,Friday,Arnold Schwarzenegger,1947-07-30,0.0,0.0,12707
108,E.T. the Extra-Terrestrial,PG,Other,1982,1982-06-11,7.8,381000.0,Steven Spielberg,Other,Other,10500000.0,792910554.0,Universal Pictures,115.0,6,29483782.3834197,2226476402.25264,Friday,Henry Thomas,1971-09-09,0.0,0.0,3928
109,First Blood,R,Action,1982,1982-10-22,7.7,234000.0,Other,Other,Sylvester Stallone,15000000.0,125212904.0,Other,93.0,10,42119689.119171,351595239.345907,Friday,Sylvester Stallone,1946-07-06,2.0,0.0,13257
110,An Officer and a Gentleman,R,Drama,1982,1982-08-13,7.0,52000.0,Other,Other,Richard Gere,7500000.0,129795554.0,Other,124.0,8,21059844.5595855,364463225.568705,Friday,Richard Gere,1949-08-31,0.0,0.0,12035
111,Grease 2,PG,Comedy,1982,1982-06-11,4.4,34000.0,Other,Other,Other,13200000.0,15171476.0,Paramount Pictures,115.0,6,37065326.4248705,42601190.1732643,Friday,Michelle Pfeiffer,1958-04-29,3.0,0.0,8809
112,Annie,PG,Comedy,1982,1982-06-18,6.6,41000.0,Other,Other,Other,50000000.0,57063861.0,Columbia Pictures,127.0,6,140398963.73057,160234139.017306,Friday,Aileen Quinn,1971-06-28,0.0,0.0,4008
113,Annie,PG,Comedy,1982,1982-06-18,6.6,41000.0,Other,Other,Other,50000000.0,57063861.0,Columbia Pictures,127.0,6,140398963.73057,160234139.017306,Friday,Aileen Quinn,1971-06-28,0.0,0.0,4008
